"site_id","site_name","wkt","n_d18o_samples","n_d13c_samples"
349,"Talisman cave","POINT(72.35 40.39)","1513","1513"
185,"Beatus cave","POINT(7.7819 46.6847)","3019","0"
306,"Cuíca cave","POINT(-60.6431 -11.6822)","1509","1505"
95,"Brown's cave","POINT(-82.5186 27.8894)","1476","1476"
253,"Hoq cave","POINT(54.3543 12.5866)","1426","1426"
48,"Leviathan cave","POINT(-115.58 37.89)","1388","1388"
255,"Mitoho","POINT(43.7533 -24.0477)","1375","1375"
5,"Yangkou cave","POINT(107.1833 29.0333)","1634","1104"
277,"Huagapo cave","POINT(-75.79 -11.27)","1347","1347"
316,"Hüttenbläserschachthöhle","POINT(7.6547 51.3689)","1346","1348"
121,"Entrische Kirche cave","POINT(13.15 47.16)","1340","1340"
356,"Yangzi cave","POINT(107.783 29.783)","1298","1298"
15,"Baschg cave","POINT(9.6667 47.2501)","1895","666"
120,"Ejulve cave","POINT(-0.59 40.76)","1237","1237"
129,"Grotta di Carburangeli","POINT(13.1603 38.1665)","1223","1223"
198,"Lianhua cave, Hunan","POINT(109.5333 29.48)","1573","818"
275,"Buraca Gloriosa","POINT(-8.7833 39.5333)","1178","1178"
6,"Hulu cave","POINT(119.17 32.5)","2333","0"
245,"Nakarallu cave","POINT(77.99 14.52)","1134","1134"
4,"Villars cave","POINT(0.78 45.43)","1126","1126"
8,"Lancaster Hole","POINT(-2.5168 54.2209)","1123","1123"
215,"Chaara cave","POINT(-4.2461 33.9558)","2230","0"
207,"Shatuca cave","POINT(-77.9 -5.7)","2195","0"
241,"Gempa bumi cave","POINT(120 -5)","1077","1077"
138,"Moomi cave","POINT(54.2 12.55)","1521","632"
79,"Dim cave","POINT(32.1056 36.534)","1050","1050"
266,"Cueva Victoria","POINT(-0.8215 37.6322)","1030","1030"
354,"Wulu cave","POINT(105.0833 26.05)","1111","945"
152,"Hoti cave","POINT(57.35 23.0833)","1219","832"
363,"Lake Shasta cave","POINT(-122.304 40.804)","1025","1025"
274,"Terciopelo cave","POINT(-85.33 10.17)","1018","1018"
155,"KNI-51","POINT(128.62 -15.3)","1841","182"
231,"Pacupahuain cave","POINT(-75.82 -11.24)","1009","1010"
342,"Sa balma des quartó cave","POINT(3.3059 39.5145)","1008","1008"
208,"Tangga cave","POINT(100.76 -0.36)","981","981"
224,"Xianglong cave","POINT(106.33 33)","981","981"
19,"Kanaan cave","POINT(35.6069 33.9069)","965","965"
346,"Shijiangjun cave","POINT(105.5 26.2)","959","959"
16,"Han-sur-Lesse cave","POINT(5.1884 50.1164)","953","953"
127,"Xiaobailong cave","POINT(103.36 24.2)","1874","0"
137,"Kinderlinskaya cave","POINT(56.85 54.15)","933","933"
202,"Piani Eterni karst system","POINT(11.99 46.16)","930","930"
144,"Botuverá cave","POINT(-49.1569 -27.2247)","920","920"
49,"McLean's cave","POINT(-120.42 38.07)","900","900"
192,"El Condor cave","POINT(-77.3 -5.93)","1047","742"
72,"Ascunsa cave","POINT(22.6 45)","890","890"
