type,id,lat,lon,tag:access,tag:access:conditional,tag:addr:city,tag:alt_name,tag:alt_name:en,tag:alt_name:etymology:wikidata,tag:alt_name:ga,tag:alt_name_1,tag:alt_name_2,tag:amenity,tag:area,tag:barrier,tag:bubbleid,tag:building,tag:check_date,tag:covered,tag:demolished,tag:denomination,tag:description,tag:description1,tag:disused,tag:disused:amenity,tag:disused:man_made,tag:drinkable:cup,tag:drinking_water,tag:fixme,tag:genus,tag:heritage,tag:heritage:operator,tag:heritage:website,tag:historic,tag:holy_well:cures:wikidata,tag:image,tag:intermittent,tag:landuse,tag:leisure,tag:level,tag:loc_name,tag:loc_name:etymology,tag:loc_name:etymology:wikidata,tag:locality,tag:logainm:ref,tag:man_made,tag:mapillary,tag:name,tag:name:1839,tag:name:de,tag:name:en,tag:name:etymology,tag:name:etymology:wikidata,tag:name:etymology:wikipedia,tag:name:ga,tag:name:ie,tag:natural,tag:note,tag:old_name,tag:old_name:etymology:wikidata,tag:operator,tag:patron_day,tag:place_of_worship,tag:pump,tag:ref:IE:niah,tag:ref:IE:nm,tag:ref:IE:smr,tag:religion,tag:saint:name,tag:service_times,tag:sketchfab,tag:source,tag:source:alt_name,tag:source:description,tag:source:name,tag:source:place_of_worship,tag:subject:wikidata,tag:subject:wikipedia,tag:survey:date,tag:tourism,tag:url:sketchfab,tag:was:amenity,tag:was:name,tag:was:natural,tag:was:place_of_worship,tag:was:service_times,tag:water,tag:water_source,tag:website,tag:well:cure,tag:wheelchair,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,9293705945,52.463895,-8.3543757,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Peter's Well,,,,,Q33923,,,,spring,,,,,,holy_well,,,,TS065-013005-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9293975949,52.9630819,-7.8291482,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Lady's Well,,,,,Q345,,,,spring,,,,,,holy_well,,,,TN012-002----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9304010510,54.6459356,-8.292017,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9306233804,53.8058843,-8.072202,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Toberpatrick,,,,,Q165479,,,,spring,,,,,,holy_well,,,,RO023-097001,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9306396922,52.8357508,-7.8764811,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint James's Well,,,,,Q43999,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9306427510,52.4115738,-8.383837,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Patrick's Well,,,,,Q165479,,,,spring,,,,,,holy_well,,,,,christian,,,,British War office map,,,,,,,,,,,,,,,,,,,,,,
node,9306753529,52.5415571,-9.4691822,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,St Colman's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9307502723,52.9632289,-6.8443322,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Patrick's Well,,,,,Q165479,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9309258846,53.3806479,-7.0786464,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Tobernakill,,,,,,,,,spring,,,,,,holy_well,,,,KD002-006,christian,,,,British War office map,,,,,,,,,,,,,,,,,,,,,,
node,9311920043,52.6434117,-9.5729435,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Martin's Well,,,,,Q133704,,,,spring,,,,,,holy_well,,,,,christian,,,,British War office map;Esri,,,,,,,,,,,,,,,,,,,,,,
node,9318589046,53.4069736,-7.0390338,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Lady Well,,,,,,,,,spring,,,,,,holy_well,,,,KD002-002----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9335003945,53.1355989,-7.4074593,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Brigid's Well,,,,,,,,,spring,,,,,,holy_well,,,,LA003-016004,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9374555799,52.4178659,-7.6370242,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Lady's Well,,,,,Q345,,,,spring,,,,,,holy_well,,,,TS077-022----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9377100116,52.4976353,-7.6762057,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Lady's Well,,,,,Q345,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9377179345,52.5084491,-7.6526818,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint James's Well,,,,,Q43999,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9379458992,52.525987,-7.7306199,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Brogan's Well,,,,,Q121005127,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
