type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:heritage:operator,tag:historic,tag:name,tag:name:ga,tag:ref:IE:nm,tag:ref:IE:smr,tag:wikidata,tag:wikipedia,tag:sketchfab,tag:tourism,tag:url:sketchfab,tag:material,tag:website,tag:alt_name,tag:inscription:la,tag:source:inscription,tag:wikimedia_commons,tag:note,tag:moved,tag:fixme,tag:name:en,tag:description,tag:inscription,tag:project,tag:source,tag:access,tag:height,tag:image,tag:moved:from,tag:source_ref,tag:width,tag:inscription:en,tag:inscription:pgl-Latn,tag:moved_to:wikidata,tag:location,tag:archaeological_site,tag:historic:civilization,tag:level,tag:depth,tag:source:ref,tag:image:license,tag:indoor,tag:moved_from,tag:ref,tag:ref:IE:ucc,tag:source:inscription:pgl-Latn,tag:loc_name,tag:related:wikipedia,tag:related:wikidata,tag:url:ogham3D,tag:colour,tag:moved_from:wikidata,tag:ref:IE:ciic,tag:moved_date,tag:discovery:date,tag:source:inscription:pgk-Latn,tag:ref:IE:cpm,tag:url
node,11955670775,8,2024-06-08T23:35:35Z,152435386,b-unicycling,1713634,51.8936954,-8.4923217,,,ogham_stone,UCC 12,,,CO074-140----,Q70885701,,,,https://skfb.ly/oWnRy,,,,,,,,yes,,,,,,survey,,1.24,,,,0.22,,ERCAGNI MAC/Q[I] E[R]CIAS,,,,,0,0.48,,,yes,"Seemochuda, Co. Waterford cairn",,,,,,,,,,,,,,,
node,11955670776,9,2024-06-06T09:16:38Z,152321456,b-unicycling,1713634,51.8936822,-8.4923711,,,ogham_stone,UCC 24,,,CO074-151----,Q70885730,,,,https://skfb.ly/oVMSE,,,,,,,,yes,,,,,,survey,,,,,,,,OLAGNI MAQ,,,,,,,,,yes,"Bishop's Island, Co. Cork gate pier",,24,information panel,,,,,,Q85393915,,,,,,
node,11955670777,8,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8936788,-8.4923806,,,ogham_stone,UCC 28,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,[MI]MNACCANNI MAQI AILLUATT[A]N,,,,,,,,,yes,"Mountmusic, Co. Cork",,28,information panel,,,,,,,,,,,,
node,11955670778,8,2024-06-05T22:51:27Z,152307179,b-unicycling,1713634,51.8936754,-8.4923901,,,ogham_stone,UCC 23,,,,,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,VIDETT[ ]S,,,,,,,,,yes,"Coolineagh, Co. Cork St Olan's Church",,,information panel,,,,,,,,1838,,,,
node,11955670779,6,2024-06-06T09:06:33Z,152321003,b-unicycling,1713634,51.8936642,-8.4924247,,,ogham_stone,UCC 22,,,,Q70885727,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,CUNAGUSSOS MA...,,,,,,,,,yes,"Glounaglock, Co. Cork Stone circle",,22,information panel,,,,,,Q85394126,107,,,,,
node,11955670780,8,2024-06-06T09:58:24Z,152323347,b-unicycling,1713634,51.8936618,-8.4924339,,,ogham_stone,UCC 20,,,CO074-144----,Q70885722,,,,https://skfb.ly/oVOML,,,,,,,,yes,,,,,,survey,,,,,,,,"MAQI LAS?OG, B/M[ ]TTM[ ]CGE EGS[ ]MVV[ ]?/M",,,,,,,,,yes,"Tuligmore, Co. Cork",,20,information panel,,,,,,,,,1841,,,
node,11955670781,7,2024-06-06T08:56:00Z,152320484,b-unicycling,1713634,51.8936593,-8.4924431,,,ogham_stone,UCC 1,,,,Q69377850,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,C[A]RRTTACC MMAQI MO/U CAGG,,,,,,,,,yes,"Barrachaurin, Co. Cork souterrain",,1,,,,,,,,,,,Information panel,,
node,11955670784,7,2024-06-06T09:08:37Z,152321091,b-unicycling,1713634,51.89369,-8.4925217,,,ogham_stone,UCC 21,,,,Q70885723,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,BRUSC[O MAQI] DOVALESC[I] COLOMAGNI []V[]DU[]U,,,,,0,,,,yes,"Glenawillin, Co. Cork souterrain",,21,information panel,,,,,,Q85393995,63,,,,,
node,11955670785,7,2024-06-06T08:53:31Z,152320351,b-unicycling,1713634,51.8936926,-8.4925108,,,ogham_stone,UCC 10,,,,Q70885697,,,,,,,,,,,,yes,,,,,,survey,,,,,,,,C[O]VALUTI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,10,information panel,,,,,,,96,,,,,
node,11955670786,11,2025-09-23T07:16:22Z,172327978,tg4567,12500589,51.8936964,-8.4924886,,,ogham_stone,UCC 19,,,,Q70885720,,,,,,,,,,Category:CIIC 88 (Ogham Stone Concept by RAS Macalister),,yes,,,,,,survey,,,,,,,,BRANAN MAQI OQOLI,,,,,0,,,,yes,"Ballyknock, Co. Cork",,19,information panel,,,,,,,88,,,,,
